Date of Data,Close,Open,High,Low,Close(Nikkei 225 Net Total Return Index)
2010/01/01,13667.26,14279.12,14717.76,13667.26,13006.25
2010/02/01, 13579.92 , 13676.61 , 13943.72 , 13312.13 , 12922.26 
2010/03/01, 14971.07 , 13641.65 , 14980.79 , 13606.33 , 14236.67 
2010/04/01, 14927.97 , 15179.59 , 15307.70 , 14716.38 , 14195.60 
2010/05/01, 13188.92 , 14439.65 , 14439.65 , 12771.41 , 12541.80 
2010/06/01, 12681.36 , 13112.14 , 13823.31 , 12681.36 , 12057.85 
2010/07/01, 12891.10 , 12423.15 , 13239.01 , 12423.15 , 12257.21 
2010/08/01, 11935.96 , 12935.72 , 13102.92 , 11935.96 , 11348.22 
2010/09/01, 12757.71 , 12075.23 , 13020.84 , 12075.23 , 12121.49 
2010/10/01, 12531.43 , 12805.20 , 13196.26 , 12531.43 , 11906.40 
2010/11/01, 13533.14 , 12466.90 , 13790.47 , 12466.90 , 12858.02 
2010/12/01, 13947.82 , 13602.61 , 14123.51 , 13602.61 , 13250.39 
2011/01/01, 13960.52 , 14178.51 , 14439.85 , 13960.52 , 13262.40 
2011/02/01, 14495.97 , 14010.73 , 14806.28 , 14010.73 , 13770.23 
2011/03/01, 13429.08 , 14673.27 , 14673.27 , 11741.25 , 12745.46 
2011/04/01, 13559.93 , 13364.78 , 13559.93 , 12997.27 , 12869.58 
2011/05/01, 13345.80 , 13772.57 , 13772.57 , 12972.31 , 12666.32 
2011/06/01, 13531.04 , 13381.43 , 13531.04 , 12875.06 , 12840.54 
2011/07/01, 13554.95 , 13602.69 , 13974.41 , 13554.95 , 12863.17 
2011/08/01, 12351.99 , 13736.89 , 13736.89 , 11894.27 , 11720.95 
2011/09/01, 12096.31 , 12497.65 , 12497.65 , 11550.79 , 11469.24 
2011/10/01, 12497.53 , 11881.07 , 12583.01 , 11655.17 , 11849.64 
2011/11/01, 11728.62 , 12285.12 , 12285.12 , 11346.24 , 11120.48 
2011/12/01, 11773.90 , 11954.96 , 12128.49 , 11535.22 , 11161.83 
2012/01/01, 12257.87 , 11919.78 , 12370.36 , 11666.70 , 11620.59 
2012/02/01, 13550.82 , 12268.01 , 13550.82 , 12268.01 , 12845.28 
2012/03/01, 14175.35 , 13528.70 , 14314.53 , 13345.69 , 13425.67 
2012/04/01, 13385.17 , 14212.34 , 14212.34 , 13296.99 , 12677.21 
2012/05/01, 12010.60 , 13146.26 , 13187.45 , 12010.60 , 11375.31 
2012/06/01, 12683.56 , 11866.52 , 12683.56 , 11663.19 , 12010.72 
2012/07/01, 12245.25 , 12678.91 , 12820.70 , 11781.04 , 11595.62 
2012/08/01, 12459.97 , 12170.31 , 12926.27 , 12048.16 , 11797.95 
2012/09/01, 12606.65 , 12381.01 , 13013.21 , 12234.32 , 11927.01 
2012/10/01, 12688.71 , 12501.98 , 12869.67 , 12129.10 , 12004.71 
2012/11/01, 13423.66 , 12714.46 , 13423.66 , 12307.63 , 12700.14 
2012/12/01, 14793.53 , 13440.95 , 14793.53 , 13404.40 , 13994.17 
2013/01/01, 15852.63 , 15210.40 , 15852.63 , 14924.17 , 14995.96 
2013/02/01, 16463.47 , 15927.60 , 16598.94 , 15722.06 , 15572.65 
2013/03/01, 17784.57 , 16530.44 , 17996.72 , 16530.44 , 16810.08 
2013/04/01, 19883.34 , 17407.46 , 19976.71 , 17218.70 , 18793.83 
2013/05/01, 19759.50 , 19795.10 , 22417.23 , 19493.39 , 18676.76 
2013/06/01, 19646.04 , 19024.01 , 19646.04 , 17852.83 , 18567.02 
2013/07/01, 19634.56 , 19897.67 , 21270.88 , 19624.24 , 18556.02 
2013/08/01, 19245.80 , 20119.48 , 20780.84 , 19173.35 , 18187.39 
2013/09/01, 20892.30 , 19510.38 , 21388.49 , 19510.38 , 19732.51 
2013/10/01, 20709.09 , 20934.10 , 21264.39 , 20021.57 , 19559.30 
2013/11/01, 22639.77 , 20527.80 , 22734.09 , 20362.31 , 21382.56 
2013/12/01, 23573.02 , 22629.94 , 23573.02 , 21904.06 , 22259.50 
2014/01/01, 21582.43 , 23019.66 , 23327.25 , 21582.43 , 20379.51 
2014/02/01, 21488.85 , 21155.20 , 21781.04 , 20271.52 , 20288.67 
